ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
KRDMD,2025-03-06,5,strong_up,31.6,30.0258,34.7484,30.0258,stop,-4.982
KRDMD,2025-03-21,5,strong_up,29.52,27.3704,33.8192,27.3704,stop,-7.282
KRDMD,2025-06-30,5,up,24.16,22.9003,26.6793,26.6793,target,10.428
MGROS,2024-06-03,5,strong_up,486.5246,462.9392,533.6955,506.8166,timeout,4.171
MGROS,2024-06-04,5,strong_up,476.6202,453.3735,523.1135,523.1135,target,9.755
MGROS,2024-06-26,6,strong_up,502.4683,476.3226,554.7599,554.7599,target,10.407
MGROS,2024-07-11,7,strong_up,532.4231,507.6272,582.0151,507.6272,stop,-4.657
MGROS,2024-07-31,5,strong_up,518.4121,494.7998,565.6366,494.7998,stop,-4.555
MGROS,2024-08-05,5,strong_up,530.4906,503.3171,584.8376,503.3171,stop,-5.122
MGROS,2024-09-17,7,strong_up,505.8503,482.1259,553.2991,482.1259,stop,-4.69
MGROS,2024-11-14,5,up,457.0582,433.808,503.5587,488.6634,timeout,6.915
MGROS,2024-11-25,5,up,468.7279,446.2016,513.7804,513.7804,target,9.612
MGROS,2025-01-02,6,up,523.6721,500.5165,569.9834,542.6351,timeout,3.621
MGROS,2025-01-03,5,up,516.3786,493.7308,561.6742,544.0939,timeout,5.367
MGROS,2025-01-06,5,strong_up,513.9475,491.8755,558.0915,533.8829,timeout,3.879
MGROS,2025-01-07,5,strong_up,516.8649,495.3275,559.9396,559.9396,target,8.334
MGROS,2025-01-29,5,strong_up,562.5707,541.7298,604.2524,541.7298,stop,-3.705
MGROS,2025-02-20,5,strong_up,551.8735,529.7485,596.1235,529.7485,stop,-4.009
MGROS,2025-05-09,6,strong_up,520.2685,496.5212,567.763,496.5212,stop,-4.564
MGROS,2025-05-21,6,strong_up,495.9569,473.3901,541.0903,473.3901,stop,-4.55
MGROS,2025-06-10,5,up,492.054,472.8075,530.5471,472.8075,stop,-3.911
MGROS,2025-06-30,6,up,485.1515,463.8126,527.8292,512.7617,timeout,5.691
MGROS,2025-07-01,5,up,495.5053,474.6342,537.2476,474.6342,stop,-4.212
ODAS,2024-06-21,5,up,9.0,8.494,10.012,8.494,stop,-5.622
ODAS,2024-07-16,5,up,9.0,8.5122,9.9756,8.5122,stop,-5.42
ODAS,2024-11-15,5,up,6.42,6.0176,7.2248,6.0176,stop,-6.268
ODAS,2024-12-04,5,up,6.51,6.1132,7.3037,6.1132,stop,-6.095
ODAS,2025-06-30,5,up,5.03,4.7677,5.5546,5.4,timeout,7.356
ODAS,2025-07-01,5,up,5.12,4.8572,5.6457,5.35,timeout,4.492
ODAS,2025-07-02,5,up,5.15,4.8856,5.6788,5.47,timeout,6.214
ODAS,2025-07-03,5,up,5.2,4.9352,5.7296,4.9352,stop,-5.092
PETKM,2024-06-03,5,up,21.32,20.2893,23.3815,21.4,timeout,0.375
PETKM,2024-06-04,5,up,21.14,20.1208,23.1785,21.74,timeout,2.838
PETKM,2024-06-05,5,up,21.28,20.2778,23.2843,20.76,timeout,-2.444
PETKM,2024-06-06,6,up,22.02,20.9694,24.1212,20.9694,stop,-4.771
PETKM,2024-06-20,5,up,22.02,21.0202,24.0197,21.0202,stop,-4.54
PETKM,2024-06-28,5,up,21.92,20.9391,23.8818,20.9391,stop,-4.475
PETKM,2024-07-04,6,up,22.82,21.6972,25.0657,25.0657,target,9.841
PETKM,2024-07-30,7,strong_up,24.5,23.3562,26.7876,23.3562,stop,-4.669
PETKM,2024-08-02,5,strong_up,21.24,20.0834,23.5532,23.5532,target,10.891
PETKM,2024-08-20,7,strong_up,23.7,22.314,26.4721,22.314,stop,-5.848
PETKM,2024-09-19,6,strong_up,23.9,22.719,26.2621,22.719,stop,-4.941
PETKM,2024-12-09,5,up,19.49,18.8197,20.8305,18.8197,stop,-3.439
